"ASV";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"ASV215";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"ASV216";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Hydrogenophilaceae";"Tepidiphilus"
"ASV217";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Alcanivoracaceae1";"Alcanivorax"
"ASV218";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Morganellaceae";"Moellerella"
"ASV219";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Alcaligenaceae";"Achromobacter"
"ASV221";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lacticaseibacillus"
"ASV222";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Arenimonas"
"ASV223";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"ASV225";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Weissella"
"ASV226";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Massilia"
"ASV227";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";NA
"ASV228";"Bacteria";"Firmicutes";"Bacilli";"Alicyclobacillales";"Alicyclobacillaceae";"Alicyclobacillus"
"ASV230";"Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Family XI";"Anaerococcus"
"ASV232";"Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Clostridiisalibacter";NA
"ASV235";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Micrococcaceae";"Micrococcus"
"ASV236";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Comamonadaceae";"Schlegelella"
"ASV237";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA
"ASV239";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Microtrichales";"Ilumatobacteraceae";"Ilumatobacter"
"ASV240";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Lysobacter"
"ASV241";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Micrococcaceae";"Micrococcus"
"ASV242";"Bacteria";"Actinobacteriota";"Actinobacteria";"Actinomycetales";"Actinomycetaceae";"Actinomyces"
"ASV243";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Stenotrophomonas"
"ASV244";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Enhydrobacter"
"ASV246";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Nitrosococcales";"Methylophagaceae";"Methylophaga"
"ASV247";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"ASV248";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Comamonadaceae";"Tepidimonas"
"ASV250";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Marinobacteraceae";"Marinobacter"
"ASV251";"Bacteria";"Actinobacteriota";"Actinobacteria";"Streptomycetales";"Streptomycetaceae";"Streptomyces"
"ASV252";"Bacteria";"Firmicutes";"Bacilli";"Staphylococcales";"Staphylococcaceae";NA
"ASV253";"Bacteria";"Planctomycetota";"Planctomycetes";"Gemmatales";"Gemmataceae";NA
"ASV257";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Micrococcaceae";"Pseudarthrobacter"
"ASV258";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Oceanobacillus"
"ASV259";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"ADurb.Bin063-1"
"ASV261";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Enhydrobacter"
"ASV263";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae";"Clostridium sensu stricto 18"
"ASV265";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Pasteurellaceae";"Haemophilus"
"ASV266";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Comamonadaceae";NA
"ASV267";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Nakamurellaceae";"Nakamurella"
"ASV269";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Comamonadaceae";NA
"ASV270";"Bacteria";"Actinobacteriota";"Actinobacteria";"Streptomycetales";"Streptomycetaceae";"Streptomyces"
"ASV271";"Bacteria";"Firmicutes";"Bacilli";"Acholeplasmatales";"Acholeplasmataceae";"Candidatus Phytoplasma"
"ASV272";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Tannerellaceae";"Parabacteroides"
"ASV275";"Bacteria";"Firmicutes";"Negativicutes";"Veillonellales-Selenomonadales";"Veillonellaceae";"Dialister"
"ASV277";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Carnobacteriaceae";NA
"ASV280";"Bacteria";"Actinobacteriota";"Actinobacteria";"Streptomycetales";"Streptomycetaceae";"Streptomyces"
"ASV282";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Carnobacteriaceae";"Isobaculum"
