SampleID;ASV;Count;Group;Type;Substrate;Density;Replicate;Kingdom;Phylum;Class;Order;Family;Genus
FN000.1;ASV135;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
FN000.1;ASV136;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium
FN000.1;ASV138;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Amphibacillus
FN000.1;ASV139;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
FN000.1;ASV140;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
FN000.1;ASV141;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Tetragenococcus
FN000.1;ASV143;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
FN000.1;ASV144;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella
FN000.1;ASV149;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
FN000.1;ASV150;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
FN000.1;ASV152;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum
FN000.1;ASV156;5;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
FN000.1;ASV157;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;
FN000.1;ASV158;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
FN000.1;ASV160;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
FN000.1;ASV161;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter
FN000.1;ASV162;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
FN000.1;ASV163;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Aeromonas
FN000.1;ASV166;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Schleiferilactobacillus
FN000.1;ASV168;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor
FN000.1;ASV169;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium
FN000.1;ASV170;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
FN000.1;ASV177;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
FN000.1;ASV178;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia
FN000.1;ASV179;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium
FN000.1;ASV186;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus
FN000.1;ASV187;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia
FN000.1;ASV188;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
FN000.1;ASV189;0;FN000;food waste;sorb-;0;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
FN000.1;ASV190;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira
FN000.1;ASV199;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;HT002
FN000.1;ASV200;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Pseudoalteromonas
FN000.1;ASV201;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] eligens group
FN000.1;ASV202;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella
FN000.1;ASV203;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] eligens group
