SampleID;ASV;Count;Group;Type;Substrate;Density;Replicate;Kingdom;Phylum;Class;Order;Family;Genus
LN125.1;ASV305;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium
LN125.1;ASV306;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
LN125.1;ASV308;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella
LN125.1;ASV309;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Isobaculum
LN125.1;ASV310;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
LN125.1;ASV311;0;LN125;larvae;sorb-;1.25;1;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;
LN125.1;ASV362;1;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
LN125.1;ASV363;0;LN125;larvae;sorb-;1.25;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides
LN125.1;ASV365;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
LN125.1;ASV370;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;
LN125.1;ASV371;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group
LN125.1;ASV374;0;LN125;larvae;sorb-;1.25;1;Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas
LN125.1;ASV376;0;LN125;larvae;sorb-;1.25;1;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter
LN125.1;ASV383;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Gallionellaceae;Gallionella
LN125.1;ASV389;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium
LN125.1;ASV393;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
LN125.1;ASV394;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella
LN125.1;ASV395;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium
LN125.1;ASV397;0;LN125;larvae;sorb-;1.25;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;
LN125.1;ASV399;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus
LN125.1;ASV400;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
LN125.1;ASV401;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
LN125.1;ASV402;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter
LN125.1;ASV408;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;
LN125.1;ASV410;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium
LN125.2;ASV1;16296;LN125;larvae;sorb-;1.25;2;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia
LN125.2;ASV2;6912;LN125;larvae;sorb-;1.25;2;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
LN125.2;ASV3;12411;LN125;larvae;sorb-;1.25;2;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter*
